link,queue,start,end,cycle
"(1, 0)",0,484000,488000,1000000
"(1, 0)",0,984000,988000,1000000
"(0, 4)",0,490000,494000,1000000
"(0, 4)",0,990000,994000,1000000
"(4, 5)",0,496000,500000,1000000
"(4, 5)",0,996000,1000000,1000000
"(2, 0)",0,393600,403200,1000000
"(0, 4)",0,405200,414800,1000000
"(4, 6)",0,416800,426400,1000000
"(3, 0)",0,0,1600,1000000
"(3, 0)",0,200000,201600,1000000
"(3, 0)",0,400000,401600,1000000
"(3, 0)",0,600000,601600,1000000
"(3, 0)",0,800000,801600,1000000
"(0, 4)",0,3600,5200,1000000
"(0, 4)",0,203600,205200,1000000
"(0, 4)",0,403600,405200,1000000
"(0, 4)",0,603600,605200,1000000
"(0, 4)",0,803600,805200,1000000
"(4, 7)",0,7200,8800,1000000
"(4, 7)",0,207200,208800,1000000
"(4, 7)",0,407200,408800,1000000
"(4, 7)",0,607200,608800,1000000
"(4, 7)",0,807200,808800,1000000
