link,queue,start,end,cycle
"(1, 0)",0,6400,7200,2000000
"(0, 4)",0,9200,10000,2000000
"(4, 5)",0,12000,12800,2000000
"(2, 0)",0,5600,6400,2000000
"(0, 4)",0,8400,9200,2000000
"(4, 6)",0,11200,12000,2000000
"(3, 0)",0,4800,5600,2000000
"(0, 4)",0,7600,8400,2000000
"(4, 7)",0,10400,11200,2000000
"(1, 0)",0,4000,4800,2000000
"(0, 4)",0,6800,7600,2000000
"(4, 6)",0,9600,10400,2000000
"(2, 0)",0,3200,4000,2000000
"(0, 4)",0,6000,6800,2000000
"(4, 7)",0,8800,9600,2000000
"(3, 0)",0,2400,3200,2000000
"(0, 4)",0,5200,6000,2000000
"(4, 5)",0,8000,8800,2000000
"(1, 0)",0,1600,2400,2000000
"(0, 4)",0,4400,5200,2000000
"(4, 7)",0,7200,8000,2000000
"(2, 0)",0,800,1600,2000000
"(0, 4)",0,3600,4400,2000000
"(4, 5)",0,6400,7200,2000000
"(3, 0)",0,0,800,2000000
"(0, 4)",0,2800,3600,2000000
"(4, 6)",0,5600,6400,2000000
